127.0.0.1 - - [26/Jun/2022:13:18:20 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:25 +0700] "GET /ClothesShop/ HTTP/1.1" 200 9320
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:25 +0700] "GET /ClothesShop/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:25 +0700] "GET /ClothesShop/assets/user/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:25 +0700] "GET /ClothesShop/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:25 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:25 +0700] "GET /ClothesShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:42 +0700] "GET /ClothesShop/dang-ky HTTP/1.1" 200 6396
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:42 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:42 +0700] "GET /ClothesShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:55 +0700] "POST /ClothesShop/dang-ky HTTP/1.1" 500 4089
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:18:55 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:19:55 +0700] "GET /ClothesShop/ HTTP/1.1" 200 9320
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:19:59 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:19:59 +0700] "GET /ClothesShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:20:03 +0700] "GET /ClothesShop/dang-ky HTTP/1.1" 200 6396
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:20:03 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:20:11 +0700] "POST /ClothesShop/dang-ky HTTP/1.1" 500 10175
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:20:25 +0700] "GET /ClothesShop/dang-ky HTTP/1.1" 200 6396
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:20:25 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:20:25 +0700] "GET /ClothesShop/assets/user/ico/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:20:34 +0700] "POST /ClothesShop/dang-ky HTTP/1.1" 200 6396
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:20:34 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:21:25 +0700] "POST /ClothesShop/dang-ky HTTP/1.1" 500 10163
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:21:29 +0700] "GET /ClothesShop/dang-ky HTTP/1.1" 200 6396
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:21:31 +0700] "GET /ClothesShop/ HTTP/1.1" 200 9320
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:21:31 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:21:38 +0700] "GET /ClothesShop/dang-ky HTTP/1.1" 200 6396
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:21:38 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:21:55 +0700] "POST /ClothesShop/dang-ky HTTP/1.1" 200 5787
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:21:56 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:02 +0700] "POST /ClothesShop/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:02 +0700] "GET /ClothesShop/?status=%C4%90%C4%83ng+k%C3%BD+t%C3%A0i+kho%E1%BA%A3n+th%C3%A0nh+c%C3%B4ng+%21 HTTP/1.1" 200 9806
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:03 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:03 +0700] "GET /ClothesShop/assets/user/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:07 +0700] "GET /ClothesShop/sanpham HTTP/1.1" 200 16201
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:07 +0700] "GET /ClothesShop/assets/user/img/https://product.hstatic.net/1000402464/product/ws20ss31t-ld__pink__b0dc664f598444408e53a7a8407a3dac_master.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:07 +0700] "GET /ClothesShop/assets/user/img/https://hidanz.com/wp-content/uploads/2021/03/ao-so-mi-trang-nam-mac-voi-quan-gi-7.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://mcdn.nhanh.vn/store2/83109/ps/20211227/M52917201_495K_M2.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://mcdn.nhanh.vn/store2/83109/ps/20211220/M52916103_320K_M1_thumb.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-co-lanh-tu-on-gian-m31-0020608/c230ee86-b2d1-5401-3f38-0018b768fe55.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-td-r-on-gian-solid-m16-0020172/eeee6684-6405-8d00-0262-0018cd8c8f91.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-nam-y2010-td-n01-0019778/e64c29e7-6bd7-0700-7f86-0018cf21213d.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-nam-y2010-td-m01-0019743/4904e49a-d823-0600-b389-0018cf2104a3.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-nam-y2010-tn-l01-0019742/879ed421-c7e6-0d00-712f-0018dfa3dc0b.jpg?w=540&h=756 HTTP/1.1" 404 604
